Id,Comment,"{Aspect category,   Sentiment Polarity}",review_en
181,খাবারের স্বাদ অনেক বেশি ভালো হয়েছে এবং খাবারের পরিবেষন আগের থেকে অনেক বেশি ভালো হয়েছে।,"{food,   positive},  {service,   positive}",Food tastes much better and food environment is much better than before.
182,একেবারে অথেন্টিক টেস্ট খাবার কিন্তু দাম মোটামুটি।,"{food,   positive},  {price,   neutral}",Very authentic tasting food but reasonably priced.
183,কেকের দাম অতুলনীয় কিন্তু দামও বেশি অন্যান্য জায়গা থেকে।,"{food,   positive},  {price,   negative}",The price of the cake is unmatched but also more expensive than other places.
184,কালাভুনা বেশি রান্নার জন্য একদম জলে গেছে এমন লাগছে এবং তারা সার্ভ করতেও অনেক বেশি সময় নিয়েছে।,"{food,  negative},  {service,   negative}",The kalavuna seems to have been watered down for over cooking and they also took too long to serve.
185,দোকানের পরিবেশ সাধারন কিন্তু সার্ভিস খুব ভালো দিয়েছে ।,"{ambiance,  neutral},  {service,   positive}",The environment of the shop is normal but the service is very good.
186,বুফেতে থাকা খাবারগুলা ভালোই কিন্তু সময়সীমা একটু বেশিই কম ছিলো খাওয়ার।,"{food,   positive},  {miscellaneous,   negative}",The food in the buffet was good but the time limit was a bit too short to eat.
187,মাটনের চাপ্টা জিভে লেগে থাকার মত এবং দামটাও রিসোনেবল ছিলো।,"{food,   positive},  {price,   positive}",The mutton chapata was mouthwatering and the price was reasonable.
188,রেস্টুরেন্টের ডেকোরেশন আগে থেকে ভালো হয়েছে ঠিকই কিন্তু সব খাবারের দামতো একটু বেশি বেড়ে গেছে।,"{ambiance,  positive},  {price,   negative}","The decoration of the restaurant is better than before, but the price of all the food has increased a bit."
189,খাবারের স্বাদ ভালই ছিলো কিন্তু দামের ব্যাপারে আরেকটু রিসোনেবল হলে ভালো হত।,"{food,   positive},  {price,   negative}",The taste of the food was good but it would have been better if the price was a little more reasonable.
190,রেস্টুরেন্টের খাবারের কোয়ালিটি সাধারন কিন্তু অনেক ভালোভাবে সার্ভিস দিতে জানে।,"{food,   neutral},  {service,   positive}",The food quality of the restaurant is average but they know how to provide very good service.
191,রাস্তার স্ট্রিট ফুডগুলোর মতই সাধারন স্বাদ কিন্তু দামটা বেশি।,"{food,   neutral},  {price,   negative}","The taste is similar to street food, but the price is higher."
192,সার্ভ করতে অনেক বেশি সময় লেগেছে তাদের কিন্তু  স্বাদ নিয়ে কোন অভিযোগ ছিলো না আমাদের।,"{service,   negative},  {food,   positive}",They took a long time to serve but we had no complaints about the taste.
193,এতোক্ষন অপেক্ষা করলাম ঠিকই কিন্তু ভালো কোয়ালিটির খাবার  পেলাম না এই রেস্টুরেন্টে।,"{service,   negative},  {food,  negative}","I waited so long, but I didn't get good quality food in this restaurant."
194,দাম বেশি ছিলো কিন্তু পিজ্জাটি খেয়ে সবাই মজা পেয়েছে।,"{price,   negative},  {food,   positive}",The price was high but everyone enjoyed the pizza.
195,ব্যবহার ভালো ছিলো কিন্তু খাবারের মানে তাদেরকে আরো বেশি খেয়াল করতে হবে।,"{service,   positive},  {food,  negative}",The use was good but the food meant they had to pay more attention.
196,খাবারের মান ভালো কিন্তু দাম বেশি ।,"{food,   positive},  {price,   negative}",Food quality is good but price is high.
197,অর্ডার এবং পেয়মেন্টসহ সব কাজেই ডিজিটাল সিস্টেম ব্যবহার হচ্ছে এই রেস্টুরেন্টে কিন্তু  সার্ভিসিং খারাপ হচ্ছে।,"{miscellaneous,   positive},  {service,   negative}",Digital system is being used for all functions including order and payment in this restaurant but the service is getting worse.
198,খাবারগুলো টেস্টি ছিলো কিন্তু অনেক্ষন অপেক্ষা করতে হয়েছে যদিও।,"{food,   positive},  {service,   negative}",Food was tasty but had to wait a long time though.
199,আইস্ক্রিমগুলো মোটামুটি কিন্তু দাম অনেক বেশি।,"{food,   neutral},  {price,   negative}",The ice creams are decent but overpriced.
200,এখানের দই ফুচকাটা ভালো লাগ্লো এবং দামও মোটামুটি রেঞ্জের ভিতরই।,"{food,   positive},  {price,   neutral}",The curd puffs here are good and the price is quite within the range.
201,দই ফুচকা খাইতে বাজে এবং দাম এত্তো বেশি,"{food,  negative},  {price,   negative}",Yogurt is bad to eat and the price is so high
202,খাবার সব ঠিকঠাক এবং দামও রিসোনেবল।,"{food,   positive},  {price,   positive}",The food is all good and the price is reasonable.
203,এতো স্লো সার্ভিসিং এ রেস্টুরেন্ট চলে কিভাবে বুঝছি না কিন্তু এখানের পরিবেশটা যদিও অতটা মন্দ না।,"{service,   negative},  {ambiance,  neutral}","I don't understand how the restaurant runs with such slow service, but the atmosphere here is not that bad."
204,সার্ভিস একটু বেশিই ভালো ছিলো এবং পরিবেশ সাদামাটা ।,"{service,   positive},  {ambiance,   positive}",The service was a little better and the atmosphere was simple.
205,কারন স্বাদ ভালো এবং সার্ভিসিং  ভালো সেখানে।,"{food,   positive},  {service,   positive}",Because the taste is good and the service is good there.
206,কাচ্চির স্বাদ আসলেই ভুলার মত না কিন্তু দাম অনেক বেশি।,"{food,   positive},  {price,   negative}",The taste of Kachchi is really unforgettable but the price is very high.
207,খাসির রেজালা শুধু নামেই আছে স্বাদে কিছু পেলাম না এবং তাই মনে হচ্ছে দাম কম এখানে।,"{food,  negative},  {price,   positive}",Khasir Rezala is only in name but I didn't get anything in taste and so it seems the price is low here.
208,বার্গার অনেক টেস্টিও ছিলো এবং দামও তেমন বেশি লাগ্লো না।,"{food,   positive},  {price,   neutral}",The burgers were very tasty and not too expensive.
209,পরিচ্ছন্নতাটা অনেক বেশি খেয়াল করা হয় এই রেস্টুরেন্টে এবং পরিবেশও অনেক মুগ্ধকর।,"{ambiance,   positive},  {ambiance,  positive}",Cleanliness is very much taken care of in this restaurant and the ambience is also very charming.
210,আজকে একটা রিসোনেবল  রেস্টুরেন্ট পেলাম এবং খাবারের মানও ভালো।,"{price,   positive},  {food,   positive}",Today I found a reasonable restaurant and food quality is good.
211,কুমিল্লার রসমালাই এর ব্যাপারই আলাদা এবং দামও মোটামুটি।,"{food,   positive},  {price,   neutral}",Comilla's rasmalai is different and the price is reasonable.
212,মেন্যু খুবই ব্যালেন্সড করে বানানো হয়েছে ঠিকই কিন্তু  দাম একটু বেশি মনে হলো।,"{miscellaneous,   positive},  {price,   negative}",The menu is well balanced but the price seems a bit high.
213,স্বাদ বাজে আর সার্ভিস আরো বাজে।,"{food,  negative},  {service,   negative}",The taste is bad and the service is even worse.
214,প্যানপিজ্জাটা খেয়ে বেশি তৃপ্তি পেলাম না কিন্তু দাম যদিও এটার বেশি ছিলো না।,"{food,   negative},  {price,   neutral}",I was not satisfied with the pan pizza but the price was not too much.
215,বার্গারের দাম বেড়েছে ঠিকই কিন্তু  খাবারের কোয়ালিটি নেমে গেছে।,"{price,   negative},  {food,  negative}","Sure, the price of burgers has gone up, but the quality of the food has gone down."
216,রেস্টুরেন্টের চারপাশের অবস্থা খুবই বাজে এবং খাবারের মানও তেমন ভালো না।,"{ambiance,  negative},  {food,  negative}",The environment around the restaurant is very bad and the quality of the food is not that good.
217,খাবার সব থেকে এখানেই ভালো লাগ্লো এবং দামও সাধারনই ছিলো।,"{food,   positive},  {price,   neutral}",The food here was the best and the price was reasonable.
218,বিরিয়ানিতে বাসমতি চালের ব্যবহার স্বাদ বাড়িয়ে দিয়েছে এবং দাম বাড়িয়ে দিয়েছে।,"{food,   positive},  {price,   negative}",The use of basmati rice in biryani has enhanced the taste and increased the price.
219,অনেক কম্বিনেশন ছিলো মেন্যুতে এবং দামও মোটামুটি।,"{miscellaneous,   positive},  {price,   neutral}",There were many combinations on the menu and the prices were reasonable.
220,খাবারের মান কাস্টমার রা খুশি এবং দামেও খুশি।,"{food,   positive},  {price,   positive}",Customers are happy with the food quality and also happy with the price.
221,খাবারের মান কাস্টমার রা খুশি  না এবং দামেও খুশি না।,"{food,  negative},  {price,   negative}",Customers are not happy with the food quality and also not happy with the price.
222,১৫০ টাকাতে কিভাবে সেট মেন্যু পাওয়া যায় বিশ্বাস হচ্ছে না এবং টেস্টও খারাপ না।,"{price,   positive},  {food,   neutral}",Can't believe how you can get a set menu for 150 taka and the test is not bad either.
223,পরিবেশ ভালো হয়েছে এবং সার্ভিস আগে থেকে অনেক ভালো হয়েছে।,"{ambiance,  positive},  {service,   positive}",The atmosphere is better and the service is much better than before.
224,শুধু টাকাই খরচ করা যায় খাবারের পিছনে কিন্তু তা খেয়ে মন আর পেট কোনটাই ভড়ে না।,"{price,   negative},  {miscellaneous,  negative}",Only money can be spent on food but eating it does not fill the mind or stomach.
225,এখানে খাবারের দাম দেখে হতাশ হয়নি এবং স্বাদেও খুশি।,"{price,   positive},  {food,   positive}",Wasn't disappointed by the price of the food here and happy with the taste too.
226,মাংসের আইটেমে শুধু চর্বি আর চর্বি কিন্তু দাম ঠিকই বেশি নিচ্ছে।,"{food,  negative},  {price,   negative}",Meat items are just fat and fat but the price is just too high.
227,বাশি খাবার এবং বাজে পরিবেশ নিয়ে কিভাবে যে তারা রেস্টুরেন্ট চালাচ্ছে আল্লাহ জানেন।,"{food,  negative},  {ambiance,  negative}",God knows how they run the restaurant with stale food and bad environment.
228,খাবারের কোয়ালিটি ভালো কিন্তু দক্ষ কর্মচারীর অভাবে ভুগছে রেস্টুরেন্টা।,"{food,   positive},  {miscellaneous,   negative}",The quality of food is good but the restaurant suffers from lack of skilled employees.
229,জীবনে এতো ফ্রেন্ডলি ওয়েটারদের দেখা পাই নাই এবং তাদের খাবারের মানও মন্দ না।,"{service,   positive},  {food,   neutral}",I have never seen such friendly waiters in my life and the quality of their food is not bad.
230,কর্মচারী বেশি নিয়োগ দিলে লাভ কি যদি খাবারের স্বাদ  ভালো না থাকে।,"{miscellaneous,  negative},   {food,  negative}",What's the point of hiring more employees if the food doesn't taste good.
231,কর্মচারী বেশি নিয়োগ দিলে লাভ কি যদি খাওয়ার পরিবেশ ভালো না থাকে।,"{miscellaneous,  negative},  {ambiance,  negative}",What is the benefit of hiring more employees if the eating environment is not good?
232,এদের সার্ভিস এত্তো খারাপ আর খাবার তো আরো বাজে।,"{service,   negative},  {food,  negative}",Their service is so bad and the food is even worse.
233,প্রতি আইটেমের দাম অনেক বেশি কিন্তু আমার কাছে এক্টারও স্বাদ ভালো লাগ্লো না।,"{price,   negative},  {food,  negative}",The price of each item is high but I didn't like the taste of each item.
234,সুন্দর পরিবেশ এবং ভালো মানের খাবার খাওয়ার জন্য এই রেস্টুরেন্টটা রিকমেন্ড করছি সবাইকে।,"{ambiance,  positive},  {food,   positive}",I recommend this restaurant to everyone for a nice environment and good quality food.
235,সার্ভিসিং স্লো এবং আইটেমও বাজে।,"{service,   negative},  {food,   negative}",Servicing is slow and items are also bad.
236,পরিবেশ ভালো ঠিকই কিন্তু  লোকেশন মার্কেটের অনেক ভিতরে।,"{ambiance,  positive},  {miscellaneous,   negative}",The environment is ok but the location is very inside the market.
237,ওয়েটারগুলো খুব ফাস্ট রিফিল দিচ্ছিলো এবং খাবারের স্বাদটাও একটু অন্যরকম ছিলো।,"{service,   positive},  {food,   positive}",The waiters were giving very fast refills and the food tasted a little different.
238,দামও রিসোনেবল এবং খাবারও ভালো।,"{price,   positive},  {food,   positive}",The prices are reasonable and the food is good.
239,আইটেমগুলো দেখে ভালো লাগ্লো না এবং কর্মচারীদের ব্যবহারও খারাপ।,"{food,   negative},  {service,   negative}",The items are not nice to look at and the behavior of the staff is also bad.
240,কর্মচারীরা তাদের কাজ নিয়ে বেশি সিরিয়াস এবং পরিবেশও ভালো এখানের।,"{service,   positive},  {ambiance,  positive}",The employees are more serious about their work and the environment is good here.
241,স্ট্রিট ফুডের মান এতো ভালো হবে কল্পনা করিনি এবং দামও কম।,"{food,   positive},  {price,   positive}",I never imagined the quality of street food to be so good and the price is so low.
242,নুডলসের মধ্যে অনেক বেশি তেল হয়ে গেছে লাগছে কিন্তু বাকিসবকিছু ঠিক আছে।,"{food,  negative},  {miscellaneous,   positive}",The noodles seemed too oily but everything else was fine.
243,দাম বেশি ঠিকই কিন্তু এর থেকে রাস্তার মামাদের চাওমিন বেশি ভালো লাগে আমার কাছে।,"{price,   negative},  {food,  negative}","The price is right, but I like the chaomin of street uncles better than this."
244,এর জন্য দাম বেশি করে নিলো কিন্তু স্বাদ একদম ভালো ছিলো না।,"{price,   negative},  {food,  negative}",The price was high for this but the taste was not good at all.
245,এতো রিসোনেবল দাম এবং ভালো স্বাদের পান্তা খেয়ে বৈশাখের আনন্দটাই বেড়ে গেলো।,"{price,   positive},  {food,   positive}",The joy of Baisakh increased by eating panta at such a reasonable price and good taste.
246,কম দামী খাবার যে ভালো হতে পারে তা কিন্তু এ রেস্টুরেন্টের খাবার খেয়ে বোঝা গেলো।,"{price,   positive},  {food,   positive}",It was understood that the less expensive food can be good but eating the food of this restaurant.
247,তেহারীতে মাংসের পরিমান অনেক বেশি ছিলো এবং সেই তুলনায় দাম এতো বেশি ছিলো না।,"{food,   positive},  {price,   positive},  ",The quantity of meat in Tehari was very high and the price was not so high in comparison.
248,খুবই প্রফেশনালি কাজগুলো আগাচ্ছে চারদিকে কর্মচারীরা এবং খাবারের মানও বেশ ভালো।,"{service,   positive},  {food,   positive}",Very professional work done by staff all around and food quality is also very good.
249,কাবাবে মাংস এর কোয়ালিটি বাজে ছিলো এবং ওয়েটারদের কাজও অনেক স্লো ছিল।,"{food,  negative},  {service,   negative}",The quality of the kebab meat was poor and the waiters were very slow.
250,এতো কম দামে এবং স্বাদও অস্থির।,"{price,   positive},  {food,   positive}",So cheap and the taste is amazing.
251,শিক কাবাবগুলো খেতে মজা কিন্তু যেই পরিবেশে বানানো হচ্ছিলো তা বেশি পরিচ্ছন্ন লাগ্লো না।,"{food,   positive},  {ambiance,  negative}",The shik kebabs are fun to eat but the environment in which they are being prepared is not very clean.
252,ভালো মানের খাবার এবং ভালো পরিবেশের জন্য খুব তাড়াতাড়ি রেস্টুরেন্টটি নাম করে ফেলেছে।,"{food,   positive},  {ambiance,  positive}",The restaurant has quickly earned a name for its good quality food and good ambience.
253,কর্মচারীদের গায়ে অলসতা আছে তা সার্ভিস দেখেই বুঝা যাচ্ছে এবং পরিবেশও মোটামুটি।,"{service,   negative},  {ambiance,  neutral}",The employees have laziness in their service and the atmosphere is also fair.
254,প্রফেশনালিজমের অভাব কর্মচারীদের মাঝে এবং খাবারের দামও অনেক বেশি।,"{service,   negative},  {price,   negative}",Lack of professionalism among the staff and food prices are too high.
255,"যদিও স্বাদ ভালো ,  আরো কম দাম হওয়া উচিত ছিল।","{food,   positive},  {price,   negative}","Although the taste is good, the price should have been lower."
256,ডেকোরেশন অনেক আলাদা ছিলো এবং পরিবেশও অনেক জোস ছিল।,"{ambiance,   positive},  {ambiance,  positive}",The decoration was very different and the atmosphere was very lively.
257,রেস্টুরেন্টের পরিবেশটা ভালো এবং তাই মনে হচ্ছে খাবারের দাম এতো বেশি।,"{ambiance,  positive},  {price,   negative}",The ambience of the restaurant is good and that's why the food prices seem so high.
258,ভালো কোন আইটেম দেখলাম না এবং কর্মচারীরাও ভালোভাবে কথার রেসপন্স করছিলো না।,"{food,   negative},  {service,   negative}",Didn't see any good items and the employees were not responding well.
259,অল্প টাকায় পেট ভড়ে খাওয়া গেলো এখানে এবং সার্ভিসও অনেক ভালো।,"{price,   positive},  {service,   positive}",You can eat here for a small amount of money and the service is also very good.
260,ভর্তা এর দাম যে এতো বেশি হতে পারে ভাবিনি কোনদিন কিন্তু স্বাদ যদিও ভালো ছিল।,"{price,   negative},  {food,   positive}",I never thought that the price of bharta could be so high but the taste was good.
261,মেন্যুতে বাংলা খাবারের কোন আইটেম নাই কিন্তু দাম অনেক কম লাগছে।,"{miscellaneous,   negative},  {price,   positive}",There is no Bengali food item in the menu but the price seems very low.
262,কম টাকা খরচ করে পেট ভড়ে খাওয়ার মত একটা রেস্টুরেন্ট এবং লোকেশনও অনেক ভালো।,"{price,   positive},  {miscellaneous,   positive}",A restaurant and location is also very good to eat a full stomach with less money.
263,এখানে দাম কম কিন্তু খাবারের মান ভালোই।,"{price,   positive},  {food,   positive}",The prices here are low but the quality of the food is good.
264,মিনি চাইনিজ সেটে অনেক বেশি অপশন আছে এবং দামও কম।,"{miscellaneous,   positive},  {price,   positive}",Mini Chinese sets have more options and lower prices.
265,ডেসার্ট এর মান মোটামুটি এবং দাম একটু বেশি সেই তুলনায়।,"{food,   neutral},  {price,   negative}",The quality of the dessert is fair and the price is a bit high compared to that.
266,থাই খাবারের আইটেমগুলার স্বাদ অস্থির এবং পরিবেষন অনেক বেশি অস্থির।,"{food,   positive},  {miscellaneous,   positive}",The taste of Thai food items is volatile and the ambience is much more volatile.
267,রেস্টুরেন্টের খাবারের দাম বেশি ছিল কিন্তু তার সাথে সাথে খাবারের মানও ভালো ছিল।,"{price,   negative},  {food,   positive}",The price of the restaurant food was high but at the same time the quality of the food was good.
268,মাওয়া ঘাটের ইলিশের স্বাদই আলাদা কিন্তু দাম যদিও একটু বেশি।,"{food,   positive},  {price,   negative}",Hilsa from Mawa Ghat has a different taste but the price is a bit higher.
269,আমার লাইফের খাওয়া সেরা বোরহানী এবং দামও ওত বেশি না।,"{food,   positive},  {price,   positive}",Best borhani in my life and not too expensive.
270,খাবারের দাম কম কিন্তু খাবারের কোয়ালিটি এর দিকে আরেকটু নজর দেবার দরকার আছে।,"{price,   positive},  {food,  negative}",The price of food is low but the quality of food needs to be looked at.
271,কালাভুনাতে মশলা অনেক বেশি ছিল এবং দামও অনেক বেশি ছিল।,"{food,  negative},  {price,   negative}",Kalavuna had too many spices and the prices were too high.
272,খাবারের মান ভালো থাকার সাথে সাথে কিন্তু রেস্টুরেন্টের পরিবেশও বেশ ভালো ছিল।,"{food,   positive},  {ambiance,  positive}","While the quality of the food was good, the ambience of the restaurant was also quite good."
273,অনেক ভালো খাবার এবং দামও অনেক কম।,"{food,   positive},  {price,   positive}",Very good food and very low price.
274,"সার্ভিস ও বাজে ,  খাবারের অবস্থা আরোঅনেক বাজে।","{service,   negative},  {price,   negative}","The service is also bad, the condition of the food is even worse."
275,মামারা অনেক তাড়াতাড়ি সার্ভ করে এবং খাবারের মানও ভালো।,"{service,   positive},  {food,   positive}",Mamara serves very fast and food quality is good.
276,ভালো জায়গা এটি এবং পরিবেশও মোটামুটি।,"{ambiance,   positive},  {ambiance,  neutral}",It's a good place and the environment is decent.
277,সেরা জায়গা এটা এবং এখানে দামও অনেক রিসোনেবল খাবারের।,"{ambiance,   positive},  {price,   positive}",This is the best place and the food is very reasonably priced.
278,ডেলিভারি অনেক ভালো ছিল কিন্তু খাবারের মান মোটামুটি ছিল।,"{service,   positive},  {food,   neutral}",Delivery was very good but food quality was average.
279,খাবারের কোয়ালিটি ভালো কিন্তু দামটা আরেকটু রিসোনেবল করলে ভালো হয়।,"{food,   positive},  {price,   negative}",The quality of the food is good but the price is a little more reasonable.
280,রেস্টুরেন্ট পরিচালনার পদ্ধতিটা ভালো না কিন্তু খাবারের মান অনেক ভালো।,"{miscellaneous,   negative},  {food,   positive}",The management of the restaurant is not good but the food quality is very good.
281,খাবারের স্বাদ ভালো ছিল কিন্তু দমবন্ধ হওয়া পরিবেশ ছিল রেস্টুরেন্টে।,"{food,   positive},  {ambiance,  negative}",The food tasted good but the atmosphere was stuffy in the restaurant.
282,মেন্যুতে বাচ্চাদের অপশনগুলো ভালো ছিল কিন্তু পরিবেশ ভালো নেই।,"{miscellaneous,   positive},  {ambiance,  negative}",The kids options in the menu were good but the ambience was not good.
283,স্বাদের কিছুটা ভিন্নতা ছিল এবং কর্মচারীরা অনেক সতর্ক ছিল।,"{food,   positive},  {service,   positive}",The taste was slightly different and the staff were very attentive.
284,খাবারের মান ভালো এবং পাশাপাশি মিউসিকেরও ভালো ব্যবস্থা আছে এখানে।,"{food,   positive},  {miscellaneous,   positive}",Food quality is good and music is also good here.
285,সেরা রেস্টুরেন্ট এবং সার্ভিস একদম একের ছিল।,"{miscellaneous,   positive},  {service,   positive}",The best restaurant and the service was the same.
286,খাবার অনেক বাজে ছিল এবং রেস্টুরেন্টের অবস্থাও খারাপ ছিলো।,"{food,  negative},  {ambiance,  negative}",The food was very bad and the condition of the restaurant was also bad.
287,তেমন কোন অতিরিক্ত ডেকোরেশন নেই এবং সার্ভিসও মোটামুটি।,"{ambiance,   neutral},  {service,   neutral}",There is no extra decoration and the service is decent.
288,এখানের রাজকাচুরি এর দাম অনেক কম এবং স্বাদ অসাধারন।,"{price,   positive},  {food,   positive}",Rajkachuri here is very cheap and tastes amazing.
289,রাজকাচুরিতে দইটা ভালো ছিল না এবং  দাম অনেক বেশি ছিলো।,"{food,  negative},  {price,   negative}",The curd in Rajkachuri was not good and the price was very high.
290,পিঠাঘরের পিঠার মান কমে গেছে কিন্তু দাম আগের মতই আছে।,"{food,  negative},  {price,   neutral}",The quality of pies in pithagars has gone down but the prices remain the same.
291,তাদের খাবারের মান বাজে এবং সার্ভিস আর আগের মত ভালো না।,"{food,  negative},  {service,   negative}",Their food quality is bad and service is not as good as before.
292,এখানের অফারগুলা অনেক ভালো এবং সাথে পরিবেশও খুব সুন্দর ।,"{miscellaneous,   positive},  {ambiance,  positive}",The offers here are very good and the environment is also very nice.
293,ফাটাফাটি স্বাদ এবং দামও বাজেটের মাঝেই।,"{food,   positive},  {price,   positive}",Delicious taste and price within budget too.
294,নান-রুটিগুলা আগের থেকে ভালোই মোটা হইসে এবং দামও বাড়েনি।,"{food,   positive},  {price,   neutral}",Breads are thicker than before and prices have not increased.
295,নাচোসগুলার ক্রিস্পের ভক্ত হয়ে গেলাম এবং দামও ভালো।,"{food,   positive},  {price,   positive}",Became a fan of the crispness of the nachos and the good price.
296,কখনোই এদের ফ্রেঞ্চ ফ্রাইগুলা ভালো মত ভাজা পেলাম না কিন্তু দাম একটাকাও কম রাখে না।,"{food,  negative},  {price,   negative}",I have never found their french fries to be good but the prices are not cheap.
297,দাম আগের মতই আছে কিন্তু স্বাদ আগের থেকে অনেক বেশি বেড়েছে আশ্চর্যজনকভাবে।,"{price,   neutral},  {food,   positive}",The price is the same as before but the taste has increased surprisingly.
298,দাম অনেক বেশি কম এবং অসাধারন ডিম খিচুরি খেতে পারলাম।,"{price,   positive},  {food,   positive}",The price was very low and I was able to eat amazing egg khichuri.
299,পিয়াজের ভর্তাটা ঝাল ছিলো এবং  আলাদা করে দামও দেয়া লাগেনি।,"{food,   positive},  {price,   positive}",The onion filling was salty and not worth paying separately.
300,খাবারগুলো বেশ  ভালো কিন্তু রেস্টুরেন্টের পরিবেশটা অসহ্য লাগছে।,"{food,   positive},  {ambiance,  negative}",The food is good but the atmosphere of the restaurant is unbearable.
301,প্রতিটা খাবারের দাম অনেক বেশি এবং কারন আমার মনে হচ্ছে এখানে ক্যান্ডেল লাইট ডিনার এর ব্যবস্থা আছে তাই।,"{price,   negative},  {miscellaneous,   positive}",Each dish is very expensive and because I think there is a candle light dinner.
302,বার্গারটি বিশ্রী ছিল এবং ডেলিভারিতেও অনেক সময় লাগাইসে।,"{food,  negative},  {service,  negative},  ",The burger was awkward and the delivery took too long.
303,বাংলা খাবার দিয়ে মেন্যু ভর্তি যেটা আমার অনেক ভালো লেগেছে এবং দামও মোটামুটি।,"{miscellaneous,   positive},  {price,   neutral}",The menu is full of Bengali food which I like very much and the prices are reasonable.
304,অক্টোপাসের দাম অনেক বেশি কিন্তু স্বাদের দেখা পেলাম না কোনো।,"{price,   negative},  {food,  negative}",The price of octopus is very high but I did not find any taste.
305,শিক কাবাব বানানোর শিকগুলা অনেক বেশি পরিষ্কার ছিলো এবং স্বাদ ফাটাফাটি ছিলো।,"{miscellaneous,  positive},  {food,   positive}",The shik kababs were very clean and the taste was crispy.
306,পরিবেশ ভালো কিন্তু খাবারের দাম অনেক বেশি।,"{ambiance,  positive},  {price,   negative}",The environment is good but the food is expensive.
307,কারন স্বাদ একদম মুখের কানায় কানায় লেগে আছে এবং দামও কম।,"{food,   positive},  {price,   positive}",Because the taste is mouth-watering and the price is low.
308,গরু মাংসগুলা এতো নরম আর জুসি ছিলো যে বলে বুঝাতে পারবো না কিন্তু দাম যদিও বেশি ছিলো।,"{food,   positive},  {price,   negative}",The beef was so soft and juicy that I can't explain it but the price was high.
309,স্টেক-হাউসে স্টেকের পাশাপাশি অন্য আইটেমও যোগ করা হইসে এবং দামও রিসোনেবল।,"{miscellaneous,   positive},  {price,   positive}",Steak-houses add other items besides steak and the prices are reasonable.
310,রেস্টুরেন্টে বটের আইটেম দেখতে পারবো বিশ্বাস হচ্ছে না কিন্তু দামটা যদিও একটু বেশি।,"{miscellaneous,   positive},  {price,   negative}",I can't believe that I can see bot items in the restaurant but the price is a bit high though.
311,এরজন্যই স্বাদটা একটু আলাদা হয়েছে এবং দামও সাধারন খিচুরি-ডিমের মতই।,"{food,   positive},  {price,   neutral}",That's why the taste is slightly different and the price is same as normal khichuri-egg.
312,খাবারের দাম এম্নেই বেশি এবং তারপর ভ্যাটের পরিমান অন্যান্য রেস্টুরেন্ট থেকে বেশি মনে হলো আমার কাছে।,"{price,   negative},  {miscellaneous,   negative}",The price of the food is so high and then the amount of VAT seems more than other restaurants to me.
313,মোটামুটি সার্ভিস দিয়েছে কিন্তু তাদের খাবারের স্বাদ অনেক ভালো ছিলো।,"{service,   neutral},  {food,   positive}",Gave fair service but the taste of their food was very good.
314,তার স্বাদ মোটামুটি ছিলো কিন্তু দাম ১০০০ টাকা যা একটু বেশি।,"{food,   neutral},  {price,   negative}",Its taste was decent but the price was 1000 rupees which was a bit high.
315,টাকি মাছের ভর্তা এর দাম ১০ টাকা হলেও স্বাদ  খুবই জোস।,"{price,   positive},  {food,   positive}",The price of Taki Fish Bharta is 10 Tk but the taste is very strong.
316,ইলিশ মাছের লেজের ভর্তার দামও কম ছিলো এবং স্বাদ মোটামুটি ছিলো।,"{price,   positive},  {food,   neutral}",The price of Hilsa fish tail filling was also low and the taste was decent.
317,রেস্টুরেন্টের খাবারের কোয়ালিটি ভালো কিন্তু বসার জায়গা খারাপ।,"{food,   positive},  {ambiance,  negative}",Restaurant food quality is good but seating is bad.
318,খাবারের মান একদম বাজে ছিলো কিন্তু রেস্টুরেন্টটা অনেক বেশি ব্যয়বহুল ছিলো।,"{food,  negative},  {price,   negative}",The quality of the food was very bad but the restaurant was very expensive.
319,দাম এতো বেশি ছিলো যে বলার মত না এবং খাবারের মান খারাপের কাতারেও আসে না।,"{price,   negative},  {food,  negative}",The prices were too high to say the least and the quality of the food was not bad.
320,চুই-ঝালের মশলা ভালো করে ব্যবহার করা হয়নি মনে হচ্ছে এবং পরিবেশও বেশি ভালো না।,"{food,  negative},  {ambiance,  negative}",Chui-Jhal spice seems not well used and the atmosphere is not very good.
321,জীবনে খাওয়া সব থেকে সেরা ফিন্নি এবং দামও অনেক কম।,"{food,   positive},  {price,   positive}",The best finny you will ever eat and the price is very low too.
322,হাওয়াই মিঠাইটা অনেক বেশি মিষ্টি ছিলো এবং খুব তাড়াতাড়ি কাস্টমারদের সার্ভিস দেয়া হচ্ছিলো সেখানে।,"{food,   positive},  {service,   positive}",The Hawaiian sweets were much sweeter and the customers were served very quickly.
323,সবকিছুই বেশি আধুনিক কিন্তু তবুও পরিবেশটা অনেকের পছন্দ হচ্ছে না।,"{miscellaneous,   positive},  {ambiance,  negative}",Everything is more modern but still the atmosphere is not liked by many.
324,লুচিগুলো ভালো করে তৈরি করা হয়নি এবং গরুর চাপের দামও অনেক বেশি ছিল।,"{food,  negative},  {price,   negative},  ",The luchis were not well made and the cost of cow stress was high.
325,বানিজ্যমেলার রেস্টুরেন্টগুলার খাবারের দাম বেশি  এবং মান অনেক বেশি বাজে।,"{price,   negative},  {food,  negative}",The food prices in the restaurants in the trade fair are high and the quality is very bad.
